iter	MultiClass
0	1.369761384
1	1.356357887
2	1.339358821
3	1.324680401
4	1.310319261
5	1.296354673
6	1.282611825
7	1.271464761
8	1.259197708
9	1.249743075
10	1.239541756
11	1.228751556
12	1.218059185
13	1.20772754
14	1.19936775
15	1.190593275
16	1.182402269
17	1.174740287
18	1.168468841
19	1.160511424
20	1.152725857
21	1.144965931
22	1.138435594
23	1.131106833
24	1.125064186
25	1.117706879
26	1.110653517
27	1.105052199
28	1.09988615
29	1.093504239
30	1.088006221
31	1.083418238
32	1.077619366
33	1.07307676
34	1.066857678
35	1.062236642
36	1.05767321
37	1.052181402
38	1.046940924
39	1.043061775
40	1.038535233
41	1.032895143
42	1.028198157
43	1.023269291
44	1.019500005
45	1.015337012
46	1.011007237
47	1.00692002
48	1.003069103
49	0.9991604754
50	0.9963568148
51	0.9920592735
52	0.9894905542
53	0.9858970262
54	0.9819020758
55	0.9783664936
56	0.9754585785
57	0.971454219
58	0.9677091885
59	0.9654449716
60	0.9632540056
61	0.960627978
62	0.9583798411
63	0.9548928041
64	0.9513781263
65	0.9483323407
66	0.9458480304
67	0.9425791734
68	0.9400724641
69	0.9372051191
70	0.9343957391
71	0.9317970396
72	0.9278421918
73	0.9252459094
74	0.9222797266
75	0.9205288273
76	0.9173418512
77	0.9148506399
78	0.9119998422
79	0.9092735239
80	0.9069543652
81	0.905386011
82	0.9023065522
83	0.9004852694
84	0.8975855661
85	0.8953839867
86	0.8917129566
87	0.8893595371
88	0.8873191243
89	0.8848113524
90	0.8822533697
91	0.8799533337
92	0.8774225373
93	0.8753690884
94	0.8721321155
95	0.8696087365
96	0.8670875691
97	0.8653404293
98	0.8633320818
99	0.8620602751
100	0.8599768783
101	0.8577736382
102	0.8563336174
103	0.8548504548
104	0.8532920162
105	0.8502812058
106	0.8487672627
107	0.8472670465
108	0.844494821
109	0.8419536309
110	0.8399374123
111	0.8386450505
112	0.8369648455
113	0.8351953582
114	0.8336839609
115	0.8327619237
116	0.8308834045
117	0.8296366344
118	0.8285747802
119	0.8267488674
120	0.8242533898
121	0.8215384977
122	0.8194035789
123	0.8177481734
124	0.816539201
125	0.8144098362
126	0.8126869515
127	0.8107611554
128	0.8089516302
129	0.8075638464
130	0.8062205025
131	0.8048555533
132	0.8041945569
133	0.8025649825
134	0.8013924961
135	0.8000562355
136	0.7978235963
137	0.7965364018
138	0.7953477719
139	0.7930430558
140	0.7913595898
141	0.7907767545
142	0.7892566388
143	0.7874716705
144	0.7859261822
145	0.7848680112
146	0.7834904286
147	0.7819963117
148	0.7810140212
149	0.7800302602
150	0.7788755476
151	0.777218573
152	0.7756770538
153	0.7727476429
154	0.7706681858
155	0.7687920851
156	0.7680352082
157	0.7666683105
158	0.7652740822
159	0.7640592384
160	0.7626182398
161	0.7614570984
162	0.7598143125
163	0.758118701
164	0.7564908544
165	0.7553974658
166	0.7545553026
167	0.7530709387
168	0.7518055172
169	0.7502883091
170	0.7493556651
171	0.748110665
172	0.747053158
173	0.7460485245
174	0.7450790174
175	0.7434377548
176	0.7418994149
177	0.7412595627
178	0.7399300989
179	0.7382085894
180	0.7370164962
181	0.7363724174
182	0.7347750929
183	0.7335304506
184	0.7319067472
185	0.7312347551
186	0.7298476751
187	0.7280051936
188	0.726316426
189	0.7246662556
190	0.7233749307
191	0.7217451573
192	0.7211484966
193	0.7203520471
194	0.7195404836
195	0.718316358
196	0.7174128183
197	0.7161425412
198	0.7153702744
199	0.7140955579
200	0.7119871616
201	0.7103289747
202	0.7089847969
203	0.7081600238
204	0.7076480012
205	0.7062975195
206	0.7047565483
207	0.7036927028
208	0.7021583237
209	0.7016217547
210	0.7011207804
211	0.6989534473
212	0.698456852
213	0.6971522818
214	0.6955218825
215	0.6947417359
216	0.6939439054
217	0.693272254
218	0.6913520425
219	0.6899246321
220	0.689080137
221	0.6879082567
222	0.6857975581
223	0.6846228455
224	0.6840104999
225	0.6830220718
226	0.6823826008
227	0.6812124067
228	0.6796444145
229	0.6789314542
230	0.6777933119
231	0.676596678
232	0.6754707101
233	0.6743501793
234	0.6731603272
235	0.6723647936
236	0.6707460005
237	0.670287088
238	0.6692029523
239	0.6682761747
240	0.666974447
241	0.6658672447
242	0.6648547435
243	0.6635235917
244	0.6629380187
245	0.6618458876
246	0.6612289499
247	0.6603523626
248	0.6594042205
249	0.6588636365
250	0.6582902039
251	0.6575042841
252	0.6569196303
253	0.6558209922
254	0.6552793402
255	0.6548385028
256	0.6537925384
257	0.6530959158
258	0.6522673436
259	0.6509296879
260	0.6497107066
261	0.648817538
262	0.6471895724
263	0.6463485897
264	0.6446376764
265	0.6432565817
266	0.6428612552
267	0.6423883966
268	0.6409812701
269	0.639536706
270	0.6384228143
271	0.6375517178
272	0.6369058202
273	0.6362271006
274	0.6353466997
275	0.6340216546
276	0.6330298404
277	0.6324178963
278	0.6316320959
279	0.6304021791
280	0.6293034109
281	0.6285587955
282	0.6274063186
283	0.6266792938
284	0.625650241
285	0.6250431107
286	0.6238141426
287	0.6233899115
288	0.6227263083
289	0.6211836628
290	0.6202933407
291	0.6196160597
292	0.6191886029
293	0.6182706173
294	0.6176941077
295	0.6166526782
296	0.6161435865
297	0.6155789315
298	0.6146269205
299	0.6140670913
300	0.6133919996
301	0.612948735
302	0.6117607818
303	0.6104993539
304	0.6091596269
305	0.608185365
306	0.6076314054
307	0.6061217151
308	0.6051464845
309	0.6048310079
310	0.6036699909
311	0.6029701418
312	0.602071689
313	0.601021869
314	0.6002238123
315	0.5997784197
316	0.5992582435
317	0.5979467244
318	0.5974245112
319	0.5965050356
320	0.5960337626
321	0.5948166029
322	0.5944352325
323	0.5935923791
324	0.5927848553
325	0.5921411476
326	0.5910273814
327	0.5906244736
328	0.5901826178
329	0.5891314232
330	0.5884722322
331	0.5878820023
332	0.5869377019
333	0.5861447701
334	0.5858113716
335	0.5852437456
336	0.5841510591
337	0.5834918639
338	0.5822798659
339	0.581511459
340	0.5807353599
341	0.579884456
342	0.5784739541
343	0.5778053341
344	0.5768799387
345	0.5765433303
346	0.5761936355
347	0.5753058351
348	0.574509642
349	0.5741574654
350	0.5733286741
351	0.5723818857
352	0.5714578434
353	0.5707417095
354	0.5697136385
355	0.569337177
356	0.5683003788
357	0.5671697379
358	0.5666837147
359	0.5660857129
360	0.5657021532
361	0.5651365606
362	0.5639604926
363	0.5632380205
364	0.5624630133
365	0.5614579865
366	0.560327099
367	0.5593663817
368	0.5588331649
369	0.5584662499
370	0.5573291837
371	0.5563235509
372	0.5553473758
373	0.5548513795
374	0.5541095938
375	0.5533900932
376	0.5525618819
377	0.5519238578
378	0.5515178706
379	0.5505052672
380	0.5501833579
381	0.5494350743
382	0.5482326461
383	0.547114663
384	0.5467587347
385	0.546158135
386	0.5455069155
387	0.5451033851
