iter	Passed	Remaining
0	2	536
1	5	485
2	11	709
3	15	672
4	17	626
5	20	596
6	25	635
7	28	615
8	31	596
9	33	573
10	36	559
11	42	594
12	44	581
13	47	571
14	50	562
15	53	549
16	58	565
17	62	565
18	64	552
19	67	546
20	74	567
21	79	573
22	81	563
23	84	552
24	90	563
25	93	555
26	95	545
27	98	536
28	100	529
29	106	537
30	109	531
31	112	524
32	115	516
33	118	510
34	123	513
35	125	507
36	128	499
37	131	493
38	133	487
39	140	494
40	143	489
41	146	483
42	148	478
43	154	479
44	157	475
45	159	468
46	162	462
47	165	459
48	173	466
49	176	462
50	179	457
51	182	451
52	188	454
53	190	448
54	193	443
55	196	438
56	198	432
57	205	435
58	208	431
59	211	426
60	214	421
61	219	420
62	222	416
63	225	411
64	227	406
65	230	401
66	237	403
67	239	398
68	242	394
69	245	389
70	250	387
71	253	384
72	256	379
73	258	374
74	261	369
75	267	370
76	270	365
77	274	361
78	276	357
79	279	352
80	285	352
81	288	348
82	291	344
83	294	339
84	300	338
85	303	335
86	306	330
87	308	326
88	311	322
89	316	320
90	320	316
91	322	312
92	325	307
93	328	303
94	334	302
95	336	298
96	339	294
97	342	290
98	348	288
99	350	284
100	353	279
101	355	275
102	358	271
103	364	270
104	367	266
105	370	262
106	373	258
107	376	254
108	383	252
109	385	248
110	390	245
111	392	241
112	399	240
113	403	236
114	406	233
115	411	230
116	415	227
117	419	223
118	421	219
119	424	215
120	430	213
121	433	209
122	436	205
123	439	201
124	444	199
125	447	195
126	450	191
127	452	187
128	455	183
129	461	181
130	465	177
131	467	173
132	470	169
133	472	165
134	479	163
135	481	159
136	484	155
137	486	151
138	489	147
139	497	145
140	499	141
141	502	137
142	504	134
143	510	131
144	513	127
145	515	123
146	518	119
147	521	116
148	527	113
149	529	109
150	532	105
151	535	102
152	538	98
153	544	95
154	546	91
155	549	87
156	551	84
157	554	80
158	560	77
159	563	73
160	566	70
161	568	66
162	574	63
163	577	59
164	580	56
165	583	52
166	585	49
167	592	45
168	595	42
169	598	38
170	601	35
171	606	31
172	609	28
173	612	24
174	615	21
175	617	17
176	623	14
177	626	10
178	629	7
179	632	3
180	634	0
